Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,city,lat,lng
10165,2021-02-27 15:00:00,2021-02-27 12:00:00,2021-02-27 21:42:00,Vasai,504,COUNTERFEITING,15,F,Firearm,Other Crime,1,Yes,23-03-2021 15:00,,,
10215,2021-03-03 16:00:00,2021-03-01 14:00:00,2021-03-02 03:12:00,Visakhapatnam,433,CYBERCRIME,23,F,Knife,Other Crime,4,No,,,,
10305,2021-03-07 07:00:00,2021-03-05 08:00:00,2021-03-05 13:48:00,Visakhapatnam,208,KIDNAPPING,38,F,Explosives,Other Crime,5,No,,,,
10359,2021-03-08 16:00:00,2021-03-07 14:00:00,2021-03-07 20:17:00,Visakhapatnam,507,BURGLARY,56,F,Poison,Other Crime,15,No,,,,
10367,2021-03-10 00:00:00,2021-03-07 22:00:00,2021-03-08 11:28:00,Vasai,185,SEXUAL ASSAULT,43,F,Firearm,Violent Crime,8,Yes,06-12-2021 00:00,,,
10378,2021-03-11 06:00:00,2021-03-08 09:00:00,2021-03-08 09:21:00,Visakhapatnam,492,FRAUD,25,F,,Other Crime,18,No,,,,
10416,2021-03-11 00:00:00,2021-03-09 23:00:00,2021-03-10 17:36:00,Vasai,180,VANDALISM,49,F,Explosives,Other Crime,19,Yes,25-03-2021 00:00,,,
10538,2021-03-15 10:00:00,2021-03-15 01:00:00,2021-03-16 00:26:00,Visakhapatnam,180,DRUG OFFENSE,52,F,Other,Other Crime,5,No,,,,
10566,2021-03-18 18:00:00,2021-03-16 05:00:00,2021-03-16 15:00:00,Nashik,119,COUNTERFEITING,67,F,Firearm,Other Crime,7,No,,,,
10584,2021-03-18 19:00:00,2021-03-16 23:00:00,2021-03-17 13:53:00,Visakhapatnam,197,KIDNAPPING,33,M,,Other Crime,6,No,,,,
10622,2021-03-20 22:00:00,2021-03-18 13:00:00,2021-03-18 20:46:00,Vasai,527,DOMESTIC VIOLENCE,20,M,Explosives,Violent Crime,3,Yes,14-05-2021 22:00,,,
10629,2021-03-21 01:00:00,2021-03-18 20:00:00,2021-03-19 02:06:00,Nashik,459,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,3,No,,,,
10707,2021-03-24 05:00:00,2021-03-22 02:00:00,2021-03-22 09:38:00,Vasai,220,SHOPLIFTING,13,F,,Other Crime,2,No,,,,
10712,2021-03-23 03:00:00,2021-03-22 07:00:00,2021-03-23 01:49:00,Nashik,406,BURGLARY,50,M,Other,Other Crime,2,Yes,12-08-2021 03:00,,,
10731,2021-03-25 02:00:00,2021-03-23 02:00:00,2021-03-23 03:48:00,Nashik,584,PUBLIC INTOXICATION,42,F,Explosives,Other Crime,11,No,,,,
10760,2021-03-25 09:00:00,2021-03-24 07:00:00,2021-03-24 22:06:00,Vasai,487,TRAFFIC VIOLATION,28,F,Firearm,Traffic Fatality,13,No,,,,
10795,2021-03-26 14:00:00,2021-03-25 18:00:00,2021-03-26 14:59:00,Vasai,185,VANDALISM,39,M,Explosives,Other Crime,6,No,,,,
10812,2021-03-27 22:00:00,2021-03-26 11:00:00,2021-03-27 10:32:00,Visakhapatnam,113,FRAUD,68,F,Poison,Other Crime,1,Yes,08-06-2021 22:00,,,
10815,2021-03-27 19:00:00,2021-03-26 14:00:00,2021-03-26 23:19:00,Visakhapatnam,328,FRAUD,49,F,,Other Crime,1,Yes,09-06-2021 19:00,,,
10839,2021-03-30 13:00:00,2021-03-27 14:00:00,2021-03-28 08:24:00,Nashik,167,PUBLIC INTOXICATION,53,F,Knife,Other Crime,8,Yes,28-04-2021 13:00,,,
10841,2021-03-28 10:00:00,2021-03-27 16:00:00,2021-03-28 11:32:00,Visakhapatnam,417,HOMICIDE,42,F,Poison,Other Crime,1,No,,,,
10849,2021-03-28 01:00:00,2021-03-28 00:00:00,2021-03-28 00:30:00,Visakhapatnam,321,TRAFFIC VIOLATION,29,F,,Traffic Fatality,2,Yes,22-04-2021 01:00,,,
10864,2021-03-31 12:00:00,2021-03-28 15:00:00,2021-03-29 10:40:00,Visakhapatnam,565,DOMESTIC VIOLENCE,61,M,Poison,Violent Crime,8,No,,,,
10875,2021-03-29 07:00:00,2021-03-29 02:00:00,2021-03-29 05:14:00,Visakhapatnam,216,BURGLARY,25,M,,Other Crime,2,Yes,10-06-2021 07:00,,,
10887,2021-03-30 21:00:00,2021-03-29 14:00:00,2021-03-30 04:31:00,Visakhapatnam,109,HOMICIDE,59,F,Explosives,Other Crime,7,No,,,,
10890,2021-03-30 15:00:00,2021-03-29 17:00:00,2021-03-30 00:46:00,Visakhapatnam,540,FIREARM OFFENSE,26,M,Other,Fire Accident,19,Yes,09-06-2021 15:00,,,
10973,2021-04-03 10:00:00,2021-04-02 04:00:00,2021-04-03 03:41:00,Visakhapatnam,341,COUNTERFEITING,38,F,Explosives,Other Crime,5,No,,,,
10978,2021-04-04 07:00:00,2021-04-02 09:00:00,2021-04-02 18:49:00,Vasai,356,EXTORTION,18,F,Firearm,Other Crime,3,Yes,28-04-2021 07:00,,,
10983,2021-04-02 19:00:00,2021-04-02 14:00:00,2021-04-03 05:04:00,Visakhapatnam,117,ASSAULT,32,M,Blunt Object,Violent Crime,6,Yes,29-04-2021 19:00,,,
11007,2021-04-04 12:00:00,2021-04-03 14:00:00,2021-04-04 02:58:00,Visakhapatnam,382,BURGLARY,43,M,Firearm,Other Crime,18,Yes,22-07-2021 12:00,,,
11017,2021-04-06 12:00:00,2021-04-04 00:00:00,2021-04-04 11:47:00,Visakhapatnam,137,ROBBERY,13,M,Poison,Violent Crime,18,No,,,,
11020,2021-04-06 17:00:00,2021-04-04 03:00:00,2021-04-04 17:42:00,Nashik,490,FRAUD,34,M,Other,Other Crime,10,Yes,30-05-2021 17:00,,,
11041,2021-04-06 09:00:00,2021-04-05 00:00:00,2021-04-05 07:03:00,Visakhapatnam,277,VANDALISM,60,M,Explosives,Other Crime,3,Yes,29-04-2021 09:00,,,
11088,2021-04-09 13:00:00,2021-04-06 23:00:00,2021-04-07 14:39:00,Vasai,182,BURGLARY,58,M,Firearm,Other Crime,15,Yes,10-07-2021 13:00,,,
11169,2021-04-11 07:00:00,2021-04-10 08:00:00,2021-04-10 23:04:00,Visakhapatnam,572,TRAFFIC VIOLATION,61,F,Knife,Traffic Fatality,14,Yes,04-05-2021 07:00,,,
11187,2021-04-11 13:00:00,2021-04-11 02:00:00,2021-04-11 02:25:00,Visakhapatnam,208,FRAUD,35,F,Other,Other Crime,10,Yes,29-04-2021 13:00,,,
11200,2021-04-12 13:00:00,2021-04-11 15:00:00,2021-04-12 14:16:00,Visakhapatnam,550,SHOPLIFTING,65,F,Firearm,Other Crime,1,No,,,,
11216,2021-04-12 18:00:00,2021-04-12 07:00:00,2021-04-12 10:01:00,Vasai,345,SHOPLIFTING,39,M,Knife,Other Crime,7,Yes,08-06-2021 18:00,,,
11223,2021-04-14 20:00:00,2021-04-12 14:00:00,2021-04-13 10:51:00,Vasai,408,BURGLARY,76,F,,Other Crime,9,Yes,29-08-2021 20:00,,,
11331,2021-04-17 20:00:00,2021-04-17 02:00:00,2021-04-17 03:24:00,Visakhapatnam,573,ILLEGAL POSSESSION,64,M,Blunt Object,Other Crime,11,Yes,15-06-2021 20:00,,,
11359,2021-04-20 04:00:00,2021-04-18 06:00:00,2021-04-19 03:47:00,Visakhapatnam,350,VEHICLE - STOLEN,18,F,,Violent Crime,4,No,,,,
11373,2021-04-19 23:00:00,2021-04-18 20:00:00,2021-04-19 02:09:00,Visakhapatnam,376,ROBBERY,79,M,Explosives,Violent Crime,5,No,,,,
11437,2021-04-24 09:00:00,2021-04-21 12:00:00,2021-04-21 18:39:00,Visakhapatnam,165,ILLEGAL POSSESSION,56,M,Blunt Object,Other Crime,4,No,,,,
11474,2021-04-25 11:00:00,2021-04-23 01:00:00,2021-04-23 06:17:00,Nashik,238,DOMESTIC VIOLENCE,20,F,Firearm,Violent Crime,4,Yes,03-07-2021 11:00,,,
11517,2021-04-25 01:00:00,2021-04-24 20:00:00,2021-04-25 05:40:00,Nashik,415,BURGLARY,47,F,Blunt Object,Other Crime,16,Yes,30-05-2021 01:00,,,
11531,2021-04-27 13:00:00,2021-04-25 10:00:00,2021-04-25 15:12:00,Vasai,233,ARSON,74,F,Knife,Fire Accident,15,No,,,,
11566,2021-04-29 01:00:00,2021-04-26 21:00:00,2021-04-27 08:03:00,Vasai,278,TRAFFIC VIOLATION,71,M,Other,Traffic Fatality,15,No,,,,
11567,2021-04-27 03:00:00,2021-04-26 22:00:00,2021-04-27 10:59:00,Visakhapatnam,207,SEXUAL ASSAULT,37,M,Blunt Object,Violent Crime,19,Yes,24-11-2022 03:00,,,
11579,2021-04-29 08:00:00,2021-04-27 10:00:00,2021-04-28 09:08:00,Visakhapatnam,569,KIDNAPPING,51,F,Firearm,Other Crime,3,Yes,19-06-2021 08:00,,,
11580,2021-04-27 12:00:00,2021-04-27 11:00:00,2021-04-27 21:29:00,Vasai,448,KIDNAPPING,53,M,Other,Other Crime,5,Yes,14-07-2021 12:00,,,
11618,2021-04-29 11:00:00,2021-04-29 01:00:00,2021-04-29 19:37:00,Nashik,347,ARSON,16,F,Knife,Fire Accident,6,No,,,,
11654,2021-04-30 20:00:00,2021-04-30 13:00:00,2021-05-01 07:35:00,Visakhapatnam,234,EXTORTION,60,M,Other,Other Crime,3,Yes,12-07-2021 20:00,,,
11710,2021-05-05 04:00:00,2021-05-02 21:00:00,2021-05-03 20:16:00,Visakhapatnam,513,ILLEGAL POSSESSION,38,M,Other,Other Crime,9,No,,,,
11757,2021-05-07 17:00:00,2021-05-04 20:00:00,2021-05-05 09:20:00,Vasai,249,FIREARM OFFENSE,41,M,Explosives,Fire Accident,11,Yes,11-07-2021 17:00,,,
11763,2021-05-05 07:00:00,2021-05-05 02:00:00,2021-05-05 13:08:00,Vasai,501,FRAUD,60,F,,Other Crime,11,No,,,,
11783,2021-05-08 06:00:00,2021-05-05 22:00:00,2021-05-06 00:06:00,Vasai,169,ASSAULT,73,M,,Violent Crime,1,No,,,,
11820,2021-05-09 00:00:00,2021-05-07 11:00:00,2021-05-07 16:42:00,Nashik,260,SHOPLIFTING,47,F,Poison,Other Crime,12,Yes,10-07-2021 00:00,,,
11826,2021-05-09 06:00:00,2021-05-07 17:00:00,2021-05-07 21:33:00,Visakhapatnam,539,DRUG OFFENSE,61,F,Knife,Other Crime,18,Yes,22-07-2021 06:00,,,
11832,2021-05-10 19:00:00,2021-05-07 23:00:00,2021-05-08 02:58:00,Nashik,459,IDENTITY THEFT,76,F,Firearm,Violent Crime,19,Yes,09-06-2021 19:00,,,
11848,2021-05-09 11:00:00,2021-05-08 15:00:00,2021-05-08 19:31:00,Vasai,483,SEXUAL ASSAULT,79,F,Blunt Object,Violent Crime,16,Yes,03-01-2023 11:00,,,
11851,2021-05-09 05:00:00,2021-05-08 18:00:00,2021-05-08 19:25:00,Vasai,384,ROBBERY,78,F,Knife,Violent Crime,11,No,,,,
11874,2021-05-12 08:00:00,2021-05-09 17:00:00,2021-05-10 02:47:00,Visakhapatnam,345,ROBBERY,30,M,Other,Violent Crime,2,No,,,,
11897,2021-05-11 15:00:00,2021-05-10 16:00:00,2021-05-11 12:01:00,Visakhapatnam,385,FIREARM OFFENSE,29,M,Firearm,Fire Accident,1,No,,,,
11911,2021-05-13 00:00:00,2021-05-11 06:00:00,2021-05-11 15:28:00,Nashik,543,KIDNAPPING,36,F,Blunt Object,Other Crime,11,No,,,,
11933,2021-05-14 11:00:00,2021-05-12 04:00:00,2021-05-12 04:45:00,Nashik,425,IDENTITY THEFT,75,F,Explosives,Violent Crime,18,No,,,,
11935,2021-05-14 00:00:00,2021-05-12 06:00:00,2021-05-12 11:15:00,Nashik,587,ARSON,61,F,Blunt Object,Fire Accident,13,No,,,,
11950,2021-05-14 15:00:00,2021-05-12 21:00:00,2021-05-13 07:11:00,Vasai,526,TRAFFIC VIOLATION,58,M,,Traffic Fatality,2,Yes,21-05-2021 15:00,,,
11955,2021-05-13 08:00:00,2021-05-13 02:00:00,2021-05-13 06:12:00,Vasai,299,COUNTERFEITING,66,F,Knife,Other Crime,3,Yes,30-05-2021 08:00,,,
11994,2021-05-16 13:00:00,2021-05-14 17:00:00,2021-05-15 13:26:00,Nashik,198,HOMICIDE,33,F,Knife,Other Crime,12,No,,,,
12041,2021-05-17 03:00:00,2021-05-16 16:00:00,2021-05-17 10:30:00,Nashik,228,IDENTITY THEFT,22,F,Other,Violent Crime,18,No,,,,
12049,2021-05-19 09:00:00,2021-05-17 00:00:00,2021-05-17 22:45:00,Nashik,363,DRUG OFFENSE,24,F,Other,Other Crime,2,No,,,,
12070,2021-05-18 19:00:00,2021-05-17 21:00:00,2021-05-18 05:32:00,Visakhapatnam,189,FRAUD,45,F,Knife,Other Crime,3,No,,,,
12078,2021-05-20 05:00:00,2021-05-18 05:00:00,2021-05-19 02:00:00,Visakhapatnam,489,FRAUD,34,F,Other,Other Crime,6,No,,,,
12089,2021-05-18 18:00:00,2021-05-18 16:00:00,2021-05-18 19:51:00,Visakhapatnam,228,ARSON,38,F,Blunt Object,Fire Accident,17,Yes,12-07-2021 18:00,,,
12129,2021-05-22 03:00:00,2021-05-20 08:00:00,2021-05-21 02:52:00,Vasai,581,TRAFFIC VIOLATION,15,F,Poison,Traffic Fatality,13,Yes,19-06-2021 03:00,,,
12130,2021-05-22 08:00:00,2021-05-20 09:00:00,2021-05-20 15:58:00,Vasai,239,HOMICIDE,29,F,Other,Other Crime,9,No,,,,
12175,2021-05-25 04:00:00,2021-05-22 06:00:00,2021-05-22 21:22:00,Visakhapatnam,252,ASSAULT,79,M,Blunt Object,Violent Crime,13,No,,,,
12192,2021-05-25 18:00:00,2021-05-22 23:00:00,2021-05-23 22:04:00,Visakhapatnam,100,ROBBERY,64,M,Blunt Object,Violent Crime,7,No,,,,
12210,2021-05-25 11:00:00,2021-05-23 17:00:00,2021-05-24 01:46:00,Vasai,570,TRAFFIC VIOLATION,29,F,Knife,Traffic Fatality,10,No,,,,
12225,2021-05-27 05:00:00,2021-05-24 08:00:00,2021-05-24 23:30:00,Nashik,386,IDENTITY THEFT,76,F,Poison,Violent Crime,6,No,,,,
12315,2021-05-29 05:00:00,2021-05-28 02:00:00,2021-05-28 21:52:00,Visakhapatnam,134,ASSAULT,46,M,Blunt Object,Violent Crime,10,No,,,,
12338,2021-05-30 17:00:00,2021-05-29 01:00:00,2021-05-29 22:27:00,Vasai,223,VEHICLE - STOLEN,76,M,Knife,Violent Crime,1,No,,,,
12405,2021-06-03 05:00:00,2021-05-31 20:00:00,2021-06-01 04:45:00,Visakhapatnam,263,FRAUD,60,M,Firearm,Other Crime,18,Yes,26-08-2021 05:00,,,
12407,2021-06-03 12:00:00,2021-05-31 22:00:00,2021-06-01 05:28:00,Nashik,562,VANDALISM,47,F,Knife,Other Crime,9,No,,,,
12410,2021-06-03 06:00:00,2021-06-01 01:00:00,2021-06-01 04:17:00,Nashik,278,TRAFFIC VIOLATION,77,M,Firearm,Traffic Fatality,4,Yes,28-06-2021 06:00,,,
12423,2021-06-02 21:00:00,2021-06-01 14:00:00,2021-06-01 22:36:00,Vasai,541,ARSON,36,M,Knife,Fire Accident,6,Yes,15-06-2021 21:00,,,
12445,2021-06-03 20:00:00,2021-06-02 12:00:00,2021-06-02 16:07:00,Vasai,317,EXTORTION,57,F,Explosives,Other Crime,2,Yes,07-07-2021 20:00,,,
12460,2021-06-05 06:00:00,2021-06-03 03:00:00,2021-06-03 10:36:00,Nashik,505,DRUG OFFENSE,29,F,Knife,Other Crime,10,Yes,16-07-2021 06:00,,,
12485,2021-06-05 05:00:00,2021-06-04 04:00:00,2021-06-05 03:40:00,Nashik,458,BURGLARY,58,M,,Other Crime,9,No,,,,
12502,2021-06-05 18:00:00,2021-06-04 21:00:00,2021-06-05 13:58:00,Visakhapatnam,501,DOMESTIC VIOLENCE,13,F,Blunt Object,Violent Crime,11,Yes,06-07-2021 18:00,,,
12596,2021-06-11 01:00:00,2021-06-08 19:00:00,2021-06-09 14:45:00,Vasai,529,FRAUD,56,F,Other,Other Crime,9,Yes,19-08-2021 01:00,,,
12600,2021-06-11 13:00:00,2021-06-08 23:00:00,2021-06-09 01:47:00,Visakhapatnam,290,SHOPLIFTING,30,F,Other,Other Crime,10,No,,,,
12643,2021-06-11 21:00:00,2021-06-10 18:00:00,2021-06-11 15:15:00,Vasai,547,TRAFFIC VIOLATION,59,M,,Traffic Fatality,1,No,,,,
12662,2021-06-14 01:00:00,2021-06-11 13:00:00,2021-06-11 21:57:00,Visakhapatnam,105,VANDALISM,78,M,Explosives,Other Crime,19,Yes,03-09-2021 01:00,,,
12667,2021-06-14 06:00:00,2021-06-11 18:00:00,2021-06-11 21:36:00,Vasai,415,CYBERCRIME,78,F,Blunt Object,Other Crime,14,Yes,31-08-2021 06:00,,,
12758,2021-06-16 00:00:00,2021-06-15 13:00:00,2021-06-15 19:06:00,Visakhapatnam,237,FRAUD,28,M,Knife,Other Crime,12,No,,,,
12809,2021-06-19 19:00:00,2021-06-17 16:00:00,2021-06-17 21:41:00,Visakhapatnam,498,CYBERCRIME,44,F,Explosives,Other Crime,6,Yes,05-09-2021 19:00,,,
12818,2021-06-19 15:00:00,2021-06-18 01:00:00,2021-06-18 05:07:00,Nashik,248,KIDNAPPING,64,F,Other,Other Crime,2,No,,,,
12834,2021-06-19 23:00:00,2021-06-18 17:00:00,2021-06-18 20:24:00,Vasai,433,VANDALISM,53,M,Blunt Object,Other Crime,12,No,,,,
12921,2021-06-23 12:00:00,2021-06-22 08:00:00,2021-06-22 16:47:00,Visakhapatnam,140,DOMESTIC VIOLENCE,60,M,Explosives,Violent Crime,16,Yes,08-09-2021 12:00,,,
12922,2021-06-23 05:00:00,2021-06-22 09:00:00,2021-06-23 01:28:00,Vasai,115,BURGLARY,46,F,Blunt Object,Other Crime,15,Yes,03-08-2021 05:00,,,
12955,2021-06-24 16:00:00,2021-06-23 18:00:00,2021-06-23 18:14:00,Visakhapatnam,440,ARSON,66,F,Blunt Object,Fire Accident,14,Yes,05-09-2021 16:00,,,
13021,2021-06-29 07:00:00,2021-06-26 12:00:00,2021-06-27 06:30:00,Visakhapatnam,121,CYBERCRIME,38,M,Blunt Object,Other Crime,6,Yes,03-08-2021 07:00,,,
13102,2021-06-30 10:00:00,2021-06-29 21:00:00,2021-06-29 22:36:00,Vasai,270,COUNTERFEITING,50,M,Blunt Object,Other Crime,3,No,,,,
13115,2021-07-03 01:00:00,2021-06-30 10:00:00,2021-06-30 13:53:00,Visakhapatnam,183,SEXUAL ASSAULT,16,M,Poison,Violent Crime,1,No,,,,
13145,2021-07-03 15:00:00,2021-07-01 16:00:00,2021-07-01 17:07:00,Nashik,433,ASSAULT,59,F,Poison,Violent Crime,11,No,,,,
13155,2021-07-03 21:00:00,2021-07-02 02:00:00,2021-07-02 17:42:00,Visakhapatnam,425,TRAFFIC VIOLATION,64,F,,Traffic Fatality,11,Yes,17-07-2021 21:00,,,
13156,2021-07-03 03:00:00,2021-07-02 03:00:00,2021-07-02 14:36:00,Vasai,389,SEXUAL ASSAULT,41,F,Blunt Object,Violent Crime,2,Yes,29-06-2022 03:00,,,
13178,2021-07-05 05:00:00,2021-07-03 01:00:00,2021-07-03 21:45:00,Visakhapatnam,563,CYBERCRIME,38,M,Poison,Other Crime,17,Yes,27-08-2021 05:00,,,
13258,2021-07-07 08:00:00,2021-07-06 09:00:00,2021-07-06 14:42:00,Visakhapatnam,135,ASSAULT,41,F,Poison,Violent Crime,19,No,,,,
13293,2021-07-10 12:00:00,2021-07-07 20:00:00,2021-07-08 02:34:00,Visakhapatnam,291,VEHICLE - STOLEN,72,M,Firearm,Violent Crime,15,No,,,,
13304,2021-07-10 20:00:00,2021-07-08 07:00:00,2021-07-08 19:36:00,Nashik,522,FIREARM OFFENSE,50,F,Knife,Fire Accident,13,Yes,07-09-2021 20:00,,,
13313,2021-07-10 12:00:00,2021-07-08 16:00:00,2021-07-09 07:37:00,Nashik,133,EXTORTION,76,F,Firearm,Other Crime,4,No,,,,
13381,2021-07-13 11:00:00,2021-07-11 12:00:00,2021-07-11 20:25:00,Nashik,355,VEHICLE - STOLEN,63,M,Other,Violent Crime,5,No,,,,
13395,2021-07-13 05:00:00,2021-07-12 02:00:00,2021-07-12 12:06:00,Vasai,174,PUBLIC INTOXICATION,17,M,Blunt Object,Other Crime,3,Yes,30-07-2021 05:00,,,
13475,2021-07-15 19:00:00,2021-07-15 10:00:00,2021-07-15 22:56:00,Nashik,591,ROBBERY,56,F,Knife,Violent Crime,15,Yes,15-11-2021 19:00,,,
13513,2021-07-19 23:00:00,2021-07-17 00:00:00,2021-07-17 13:41:00,Vasai,404,CYBERCRIME,48,M,Explosives,Other Crime,8,Yes,21-09-2021 23:00,,,
13523,2021-07-18 11:00:00,2021-07-17 10:00:00,2021-07-18 02:17:00,Vasai,466,IDENTITY THEFT,29,F,Other,Violent Crime,6,No,,,,
13551,2021-07-19 16:00:00,2021-07-18 14:00:00,2021-07-18 16:41:00,Vasai,409,FIREARM OFFENSE,31,F,,Fire Accident,14,Yes,28-07-2021 16:00,,,
13568,2021-07-20 13:00:00,2021-07-19 07:00:00,2021-07-20 01:30:00,Nashik,183,VANDALISM,34,M,Blunt Object,Other Crime,4,Yes,01-08-2021 13:00,,,
13628,2021-07-22 11:00:00,2021-07-21 19:00:00,2021-07-22 18:51:00,Vasai,205,DRUG OFFENSE,36,M,Firearm,Other Crime,8,Yes,23-08-2021 11:00,,,
13630,2021-07-23 14:00:00,2021-07-21 21:00:00,2021-07-22 03:53:00,Visakhapatnam,488,ASSAULT,44,F,Explosives,Violent Crime,14,Yes,09-10-2021 14:00,,,
13635,2021-07-23 11:00:00,2021-07-22 02:00:00,2021-07-22 02:33:00,Nashik,185,CYBERCRIME,67,F,Blunt Object,Other Crime,8,Yes,30-08-2021 11:00,,,
13636,2021-07-22 20:00:00,2021-07-22 03:00:00,2021-07-23 00:15:00,Visakhapatnam,521,HOMICIDE,65,F,Blunt Object,Other Crime,19,No,,,,
13661,2021-07-25 05:00:00,2021-07-23 04:00:00,2021-07-23 16:31:00,Visakhapatnam,533,TRAFFIC VIOLATION,29,M,,Traffic Fatality,15,Yes,18-08-2021 05:00,,,
13671,2021-07-23 15:00:00,2021-07-23 14:00:00,2021-07-24 00:48:00,Visakhapatnam,541,FIREARM OFFENSE,69,F,Other,Fire Accident,4,Yes,14-09-2021 15:00,,,
13693,2021-07-25 00:00:00,2021-07-24 12:00:00,2021-07-25 02:04:00,Visakhapatnam,233,EXTORTION,42,F,,Other Crime,16,Yes,03-09-2021 00:00,,,
13721,2021-07-26 23:00:00,2021-07-25 16:00:00,2021-07-26 02:24:00,Vasai,315,IDENTITY THEFT,40,M,Poison,Violent Crime,15,Yes,24-09-2021 23:00,,,
13737,2021-07-28 22:00:00,2021-07-26 08:00:00,2021-07-26 18:26:00,Visakhapatnam,261,FIREARM OFFENSE,51,M,Other,Fire Accident,13,Yes,25-09-2021 22:00,,,
13824,2021-07-31 13:00:00,2021-07-29 23:00:00,2021-07-30 03:22:00,Visakhapatnam,184,PUBLIC INTOXICATION,46,F,Knife,Other Crime,10,Yes,17-08-2021 13:00,,,
13922,2021-08-03 05:00:00,2021-08-03 01:00:00,2021-08-03 13:20:00,Vasai,298,ROBBERY,75,M,,Violent Crime,13,No,,,,
13954,2021-08-05 07:00:00,2021-08-04 09:00:00,2021-08-05 03:58:00,Vasai,353,EXTORTION,54,F,Poison,Other Crime,2,Yes,20-10-2021 07:00,,,
13978,2021-08-06 12:00:00,2021-08-05 09:00:00,2021-08-06 05:01:00,Nashik,283,VEHICLE - STOLEN,21,F,Poison,Violent Crime,4,Yes,12-10-2021 12:00,,,
13996,2021-08-07 15:00:00,2021-08-06 03:00:00,2021-08-06 11:56:00,Vasai,227,SEXUAL ASSAULT,70,F,Explosives,Violent Crime,6,Yes,09-06-2023 15:00,,,
14040,2021-08-08 10:00:00,2021-08-07 23:00:00,2021-08-08 11:03:00,Visakhapatnam,334,FIREARM OFFENSE,12,F,Firearm,Fire Accident,8,No,,,,
14044,2021-08-11 02:00:00,2021-08-08 03:00:00,2021-08-09 02:37:00,Visakhapatnam,323,TRAFFIC VIOLATION,22,F,Explosives,Traffic Fatality,9,No,,,,
14083,2021-08-12 11:00:00,2021-08-09 18:00:00,2021-08-09 18:48:00,Vasai,597,ARSON,23,M,Explosives,Fire Accident,12,Yes,04-10-2021 11:00,,,
14123,2021-08-12 03:00:00,2021-08-11 10:00:00,2021-08-11 14:37:00,Vasai,422,DRUG OFFENSE,72,M,Blunt Object,Other Crime,9,Yes,31-08-2021 03:00,,,
14146,2021-08-14 08:00:00,2021-08-12 09:00:00,2021-08-12 18:38:00,Visakhapatnam,301,SHOPLIFTING,42,F,Knife,Other Crime,16,No,,,,
14186,2021-08-14 15:00:00,2021-08-14 01:00:00,2021-08-14 12:51:00,Nashik,172,TRAFFIC VIOLATION,69,F,Firearm,Traffic Fatality,1,No,,,,
14190,2021-08-16 14:00:00,2021-08-14 05:00:00,2021-08-15 03:20:00,Nashik,547,FIREARM OFFENSE,15,M,,Fire Accident,19,No,,,,
14218,2021-08-15 16:00:00,2021-08-15 09:00:00,2021-08-15 14:39:00,Visakhapatnam,330,ARSON,23,M,Explosives,Fire Accident,4,Yes,26-10-2021 16:00,,,
14236,2021-08-19 01:00:00,2021-08-16 03:00:00,2021-08-17 02:12:00,Visakhapatnam,260,VEHICLE - STOLEN,38,M,Explosives,Violent Crime,18,Yes,24-09-2021 01:00,,,
14238,2021-08-17 13:00:00,2021-08-16 05:00:00,2021-08-16 10:27:00,Nashik,512,COUNTERFEITING,65,M,Knife,Other Crime,4,Yes,04-09-2021 13:00,,,
14271,2021-08-19 17:00:00,2021-08-17 14:00:00,2021-08-18 08:00:00,Visakhapatnam,187,FRAUD,66,F,Poison,Other Crime,12,Yes,06-10-2021 17:00,,,
14278,2021-08-18 21:00:00,2021-08-17 21:00:00,2021-08-18 00:18:00,Visakhapatnam,503,DRUG OFFENSE,29,F,Poison,Other Crime,9,No,,,,
14404,2021-08-25 17:00:00,2021-08-23 03:00:00,2021-08-23 12:39:00,Visakhapatnam,275,CYBERCRIME,50,M,Explosives,Other Crime,8,No,,,,
14421,2021-08-25 17:00:00,2021-08-23 20:00:00,2021-08-24 18:20:00,Nashik,268,VANDALISM,31,M,Blunt Object,Other Crime,15,No,,,,
14434,2021-08-26 01:00:00,2021-08-24 09:00:00,2021-08-24 17:54:00,Visakhapatnam,284,ARSON,50,M,Other,Fire Accident,16,Yes,18-09-2021 01:00,,,
14486,2021-08-27 11:00:00,2021-08-26 13:00:00,2021-08-26 23:50:00,Vasai,172,COUNTERFEITING,44,F,Explosives,Other Crime,8,Yes,20-09-2021 11:00,,,
14551,2021-08-29 08:00:00,2021-08-29 06:00:00,2021-08-29 11:06:00,Visakhapatnam,244,ARSON,24,F,Explosives,Fire Accident,6,Yes,03-11-2021 08:00,,,
14552,2021-09-01 04:00:00,2021-08-29 07:00:00,2021-08-30 01:19:00,Vasai,287,FIREARM OFFENSE,39,F,Explosives,Fire Accident,6,Yes,10-09-2021 04:00,,,
14577,2021-08-31 13:00:00,2021-08-30 08:00:00,2021-08-30 11:05:00,Visakhapatnam,228,BURGLARY,60,M,Explosives,Other Crime,16,Yes,25-11-2021 13:00,,,
14587,2021-09-01 05:00:00,2021-08-30 18:00:00,2021-08-30 19:46:00,Nashik,376,VANDALISM,15,F,Poison,Other Crime,12,No,,,,
